frame_start,frame_end,vehicle_a,vehicle_b,min_lateral_dist_m,min_total_dist_m,overtaking_vehicle
4773,4823,111,112,3.49,3.66,111
4937,5009,110,118,4.15,4.40,110
4981,5043,117,126,3.95,4.07,126
5006,5034,126,129,4.07,4.21,126
5038,5090,117,128,4.03,4.21,128
5056,5106,118,128,4.04,4.29,128
6692,6696,171,173,3.62,3.62,173
7784,7819,192,200,3.30,3.43,200
7795,7821,200,203,2.95,4.93,200
7786,7821,200,201,3.62,3.67,200
7830,7869,192,205,3.26,3.61,205
7909,7941,192,206,3.51,3.79,206
7909,7927,206,214,2.78,3.07,206
9460,9469,253,273,4.70,4.94,253
9460,9471,253,270,4.67,4.93,253
12711,12815,367,368,3.58,4.15,368
13809,13854,397,400,0.01,0.27,397
18105,18195,532,537,3.54,3.83,537
19910,19956,602,606,3.77,4.36,606
20926,20928,638,641,4.76,4.77,638
21804,22134,638,673,3.88,3.95,673
21652,22167,657,659,3.52,4.16,657
21644,22155,656,657,3.65,3.75,657
21711,22191,638,657,3.72,4.03,657
22298,22299,656,693,4.79,4.79,656
22279,22303,659,693,4.21,4.26,659
22310,22312,685,693,3.93,4.08,685
22310,22316,663,693,4.06,4.14,663
