frame_start,frame_end,vehicle_a,vehicle_b,min_lateral_gap_m,min_edge_distance_m,overtaking_vehicle
4773,4810,111,112,1.23,1.53,111
4947,5009,110,118,0.69,0.71,110
4998,5043,117,126,0.37,0.53,126
5006,5034,126,129,0.96,1.12,126
5045,5090,117,128,0.59,0.63,128
5060,5106,118,128,0.59,0.60,128
5114,5136,118,135,1.28,1.55,118
5280,5338,118,139,1.12,1.33,118
7784,7819,192,200,0.05,0.06,200
7795,7821,200,203,2.13,3.28,200
7786,7821,200,201,0.13,0.16,200
7830,7869,192,205,0.03,0.04,205
7909,7941,192,206,0.19,0.22,206
7909,7927,206,214,0.77,0.90,206
8350,8365,225,226,1.10,1.14,225
9398,9405,253,263,4.47,4.78,253
9385,9407,262,263,1.87,2.22,262
9458,9464,270,272,3.46,3.89,272
9462,9464,272,273,3.17,3.71,272
9456,9473,253,270,2.66,2.87,253
9460,9471,253,273,2.15,2.51,253
9460,9462,264,273,2.25,2.62,264
9480,9508,253,274,2.72,3.30,253
12711,12815,367,368,0.40,0.43,368
13809,13854,397,400,0.00,0.00,397
14212,14225,420,423,1.14,1.38,420
14265,14277,420,424,1.36,1.40,420
15562,15585,457,465,1.33,1.39,457
15608,15632,457,471,1.40,1.53,457
18105,18195,532,537,0.12,0.17,537
19910,19945,602,606,1.33,1.61,606
20086,20087,602,623,4.84,5.47,602
20966,20994,638,643,1.07,1.10,638
21804,22134,638,673,0.15,0.15,673
21661,22167,657,659,0.72,0.73,657
21670,22155,656,657,0.26,0.29,657
22053,22191,638,657,0.20,0.26,657
22248,22277,638,692,1.65,1.72,638
22273,22303,638,693,0.97,0.99,638
22287,22314,656,693,1.21,1.77,656
22286,22316,659,693,1.00,1.50,659
22298,22328,685,693,1.14,1.47,685
22298,22316,663,693,0.84,0.91,663
